Model,Accuracy,Macro Precision,Macro Recall,Macro F1
FinBERT pretrained,0.8762886597938144,0.8362583111457998,0.9073842221371996,0.8641424414498404
FinBERT + LoRA,0.8737113402061856,0.842110263485365,0.9059349467748806,0.8679508762842096
FLAN-T5-base zero-shot,0.39948453608247425,0.6049297924297924,0.6526658689004122,0.39123791361403093
